Iteration,N regions,Information score,Novelty coefficient,Final score,Train
iteration 1,8,2311.217245584138,0.016210821349930207,37.466729869042226,False
iteration 10,6,1128.514212501637,0.040972867017435265,46.238462756115254,False
iteration 11,8,2165.1492401419864,0.04928275918808692,106.7045286081869,False
iteration 12,6,1599.5481539081375,0.5886158808462195,941.5194455685827,True
iteration 13,9,2838.754010840199,0.2454671961623362,696.8209876355298,False
iteration 14,8,2011.9486508499076,0.03796797533329829,76.38961674733207,False
iteration 15,8,2073.224632792931,0.0045362869653602315,9.404741878002325,False
iteration 16,8,2760.3372364407037,0.24743883018730906,683.0146167073573,False
iteration 17,8,2137.0153848375867,0.23424375418367127,500.5825064926193,False
iteration 18,9,2585.154585651782,0.12606880633024206,325.90735279227164,False
iteration 19,7,1578.2673020180791,0.32471590208790396,512.488490710643,False
iteration 2,9,2304.1535573595265,0.04392750705072698,101.21572163686827,False
iteration 20,7,1697.510742124748,0.0530754047852111,90.0960697655151,True
iteration 21,9,2463.7528672699545,0.1603347434660804,395.0251839375482,True
iteration 22,9,2814.922779688717,0.031728189268820504,89.31240273107794,False
iteration 23,8,2069.4725015475065,0.02064028954200064,42.7145116311489,False
iteration 24,7,2004.3721851779826,0.09631040792883284,193.04190279569758,True
iteration 25,8,2311.6423035166026,0.014599942368648545,33.74984440827237,False
iteration 26,7,1686.6247968215175,0.2094157997460823,353.20588069795167,False
iteration 3,8,2567.3217122955884,0.12728331362281933,326.77721467679294,True
iteration 4,8,2047.835484917877,0.15668373917992034,320.86252100225835,False
iteration 5,8,2344.2787467532353,0.05814173079646853,136.30042380560923,False
iteration 6,5,927.0396642002688,0.17448147918583165,161.75125187359956,True
iteration 7,4,546.9560547538072,0.02725915330372155,14.909558946932748,False
iteration 8,8,2614.6411585745814,0.15419554091084087,403.16600773415524,False
iteration 9,7,1637.2960472277728,0.11942970287196868,195.5417804338617,True
