,pH,Temperature,PID Control value
0,7.29,22.4,-1.4654279999968132
1,7.24,22.4,-2.9656212961151303
2,7.11,22.3,-3.7487577018381786
3,6.95,22.3,-3.125309688932083
4,6.8,22.3,-1.27656769925825
5,6.73,22.3,0.501986308866857
6,6.72,22.3,2.0274402378816685
7,6.76,22.3,3.7262753959039197
8,6.87,22.3,4.831744176476477
9,7.02,22.3,4.468544639573232
10,7.18,22.3,2.4680367603974784
11,7.29,22.3,0.09647947362002986
12,7.31,22.3,-1.4637671259828375
13,7.27,22.3,-3.1757731790807324
14,7.15,22.3,-4.334483618764138
15,6.96,22.3,-3.7467104621178815
16,6.79,22.3,-1.6260034948974735
17,6.71,22.3,0.4001256045273554
18,6.7,22.3,2.002895417264554
19,6.74,22.3,3.8466363959020966
20,6.84,22.3,5.0
21,7.02,22.3,4.761885443310956
22,7.18,,
